Sponsor,Sponsor Link,Apply for Sponsorship,Newsletter Sponsored,Market,Audience Size,Added
Trustpilot,https://www.trustpilot.com/,press@trustpilot.com,Morning Brew,Other,4000000,1/24/2025
Optimole,https://optimole.com,https://app.impact.com/campaign-promo-signup/Optimole.brand?execution=e1s1&#/?viewkey=signUpPreStart,Bizarro Devs,Technology,12000,1/17/2025
Attio,https://attio.com,https://attio.com/partners/creator-program#form,Neal from Demand Curve,Marketing,62000,1/17/2025
Clay,https://www.clay.com,https://clayrun.notion.site/Clay-Creators-7a64e620637647e39b8f6fac2b5e9286,Prompts Daily - Aadit Sheth,"Software,Marketing",100000,1/14/2025
Chromox,https://chromox.alkaidvision.com/,lily@alkaidvision.com,Prompts Daily - Aadit Sheth,"Technology,AI",100000,1/14/2025
Speechmatics,https://www.speechmatics.com,media@speechmatics.com,AI Breakfast,AI,55000,1/14/2025
Huckberry,https://huckberry.com,support@huckberry.com,SHIFT,Fashion,300000,1/14/2025
Mozi,https://www.mozi.app,community@mozi.app,Dense Discovery,Social,40000,1/14/2025
Outside Studio,https://outside.studio,,Dense Discovery,Technology,40000,1/14/2025
Taskade AI,https://www.taskade.com,https://www.taskade.com/contact,Prompts Daily - Aadit Sheth,"Productivity,AI",100000,1/8/2025
TinyEinstein,https://www.tinyeinstein.ai,https://www.tinyco.ai/partners,Prompts Daily - Aadit Sheth,"AI,Marketing",100000,1/7/2025
Pixite,https://pixite.ai,contact@pixite.ai,Prompts Daily - Aadit Sheth,"AI,Fashion",100000,1/7/2025
Kanguro Pet & Renters Insurance,https://www.kanguroseguro.com,https://www.kanguroseguro.com/partnership,The DONUT,Business,74000,1/7/2025
Lumen,https://www.lumen.me,https://www.lumen.me/experts,SHIFT,Health,300000,1/7/2025
Emma AI,https://getemma.ai,https://coda.io/form/Emma-Contact-Form_drTQBZ_D2jH,Prompts Daily - Aadit Sheth,"AI,Productivity",100000,1/7/2025
Forest,https://www.forestapp.cc,support@forestapp.cc,Superhuman – Zain Kahn,Productivity,250000,1/7/2025
Eight Sleep,https://www.eightsleep.com,https://www.eightsleep.com/press/,Superhuman – Zain Kahn,Health,250000,1/7/2025
SlidesGo,https://slidesgo.com,https://slidesgo.com/ambassadors,Prompts Daily - Aadit Sheth,Productivity,100000,1/2/2025
Pictory,https://pictory.ai,https://pictory.ai/partner-with-pictory,Prompts Daily - Aadit Sheth,AI,100000,1/2/2025
EmailTree,https://emailtree.ai,https://emailtree.ai/become-partner/,Prompts Daily - Aadit Sheth,AI,100000,1/2/2025
Flick,https://www.flick.social/ai-social-media-tool,sam@flick.social,Prompts Daily - Aadit Sheth,"Social,AI,Marketing",100000,1/2/2025
Run:ai,https://www.run.ai,https://www.run.ai/partners#partner,AI Breakfast,"AI,Technology",55000,1/2/2025
Cognikeep AI,https://www.cognikeep.ai,aditya@cognikeep.ai,AI Breakfast,AI,55000,1/2/2025
Huru,https://huru.ai,contact@huru.ai ,Prompts Daily - Aadit Sheth,"Productivity,AI,Business",100000,1/2/2025
Kixie,https://www.kixie.com,https://dash.partnerstack.com/application?company=kixie&group=newpartner,Prompts Daily - Aadit Sheth,Marketing,100000,1/2/2025
Fellow,https://fellow.app,https://fellow.app/partners/ambassadors,Superhuman – Zain Kahn,"AI,Productivity,Business",250000,1/2/2025
Coin Stats,https://coinstats.app,sales@coinstats.app ,Milk Road,Crypto,330000,12/31/2024
UpMarket,https://preipo.upmarket.co,invest@upmarket.co,BraVoCycles Newsletter,"AI,Investing",25000,12/31/2024
Mailbutler,https://www.mailbutler.io,https://www.mailbutler.io/reseller-referral-program/,Prompts Daily - Aadit Sheth,Productivity,100000,12/31/2024
Clockwise,https://www.getclockwise.com,press@getclockwise.com,Prompts Daily - Aadit Sheth,Productivity,100000,12/30/2024
Superhuman,https://superhuman.com,hello@superhuman.com,Prompts Daily - Aadit Sheth,Productivity,100000,12/30/2024
Pernas Research,https://pernasresearch.com,info@pernasresearch.com,The Daily Upside,"Finance,Investing",1000000,12/30/2024
devpilot,https://devpilot.dev,karsten@devpilot.dev,AI Breakfast,"Technology,Business",55000,12/30/2024
UpMarket,https://www.upmarket.co,invest@upmarket.co,Connor from Yellowbrick Road,Finance,50000,12/29/2024
Stable Output,https://stableoutput.com,dprasetiyo6@gmail.com,AI Breakfast,AI,55000,12/29/2024
Lucidchart,https://www.lucidchart.com,(844) 465-8243,Prompts Daily - Aadit Sheth,"Software,AI,Productivity",100000,12/29/2024
AIVA,https://www.aiva.ai,https://www.aiva.ai/contact,Prompts Daily - Aadit Sheth,"AI,Music",100000,12/29/2024
Crunchbase,https://www.crunchbase.com/,,Lenny's Newsletter,"Business,AI,Finance",900000,12/26/2024
MagicForm,https://www.magicform.ai,,Prompts Daily - Aadit Sheth,"Productivity,AI,Marketing",100000,12/26/2024
